Isolate,Encapsulation,Resistance
6631_1#3,Encapsulated,Non-susceptible
6775_1#23,Encapsulated,Non-susceptible
6731_2#24,Encapsulated,Non-susceptible
6259_7#8,Unencapsulated,Non-susceptible
6736_8#5,Encapsulated,Susceptible
6680_6#15,Encapsulated,Susceptible
6680_4#16,Unencapsulated,Non-susceptible
6259_6#14,Encapsulated,Susceptible
6730_3#19,Encapsulated,Non-susceptible
6775_2#19,Encapsulated,Non-susceptible
6755_6#8,Unencapsulated,Non-susceptible
6972_4#24,Encapsulated,Non-susceptible
7004_6#31,Encapsulated,Non-susceptible
6925_6#24,Unencapsulated,Non-susceptible
6631_5#2,Unencapsulated,Non-susceptible
6731_5#20,Encapsulated,Susceptible
7068_4#16,Encapsulated,Non-susceptible
6899_4#11,Encapsulated,Susceptible
6753_3#11,Encapsulated,Susceptible
6983_8#74,Encapsulated,Non-susceptible
6823_4#16,Unencapsulated,Non-susceptible
7011_4#23,Encapsulated,Non-susceptible
6925_7#17,Encapsulated,Susceptible
6871_1#18,Encapsulated,Non-susceptible
6775_1#3,Encapsulated,Non-susceptible
6938_7#10,Encapsulated,Non-susceptible
7004_7#67,Unencapsulated,Non-susceptible
6631_5#10,Encapsulated,Non-susceptible
6755_4#9,Encapsulated,Susceptible
6631_1#20,Encapsulated,Non-susceptible
6899_5#3,Encapsulated,Susceptible
7011_6#19,Encapsulated,Susceptible
6755_2#9,Encapsulated,Susceptible
6983_5#14,Encapsulated,Non-susceptible
6805_5#20,Encapsulated,Susceptible
6805_5#9,Encapsulated,Non-susceptible
6983_5#20,Unencapsulated,Non-susceptible
6841_7#6,Encapsulated,Non-susceptible
6649_8#21,Unencapsulated,Non-susceptible
6972_5#16,Encapsulated,Susceptible
6714_7#11,Encapsulated,Non-susceptible
6731_5#16,Encapsulated,Susceptible
6823_4#23,Encapsulated,Susceptible
6630_4#16,Encapsulated,Non-susceptible
6925_3#17,Encapsulated,Susceptible
6259_8#19,Encapsulated,Susceptible
6830_3#24,Encapsulated,Susceptible
6807_1#4,Encapsulated,Susceptible
6899_7#17,Encapsulated,Non-susceptible
6631_2#16,Encapsulated,Susceptible
6775_1#13,Encapsulated,Non-susceptible
6938_7#16,Unencapsulated,Susceptible
7038_8#41,Encapsulated,Susceptible
6938_5#17,Encapsulated,Susceptible
7068_4#21,Encapsulated,Susceptible
7054_6#6,Encapsulated,Non-susceptible
6775_1#1,Encapsulated,Non-susceptible
6593_5#24,Encapsulated,Susceptible
7038_7#15,Encapsulated,Susceptible
6630_2#3,Encapsulated,Susceptible
6841_7#16,Encapsulated,Susceptible
6755_4#21,Encapsulated,Non-susceptible
6807_1#15,Encapsulated,Non-susceptible
7011_6#17,Unencapsulated,Non-susceptible
7004_8#90,Unencapsulated,Non-susceptible
7054_6#19,Encapsulated,Non-susceptible
6259_6#13,Encapsulated,Susceptible
6630_3#24,Encapsulated,Non-susceptible
7038_7#23,Encapsulated,Susceptible
6730_8#16,Encapsulated,Susceptible
6755_5#7,Encapsulated,Susceptible
6730_3#9,Unencapsulated,Non-susceptible
6949_2#15,Encapsulated,Non-susceptible
6630_4#22,Encapsulated,Susceptible
7054_5#24,Encapsulated,Non-susceptible
6736_7#10,Encapsulated,Non-susceptible
7054_4#3,Encapsulated,Susceptible
6755_6#13,Encapsulated,Non-susceptible
6736_5#15,Encapsulated,Susceptible
6710_6#21,Encapsulated,Susceptible
6938_8#10,Unencapsulated,Non-susceptible
6983_3#69,Encapsulated,Non-susceptible
6807_3#11,Encapsulated,Susceptible
6871_2#1,Encapsulated,Susceptible
6730_4#18,Encapsulated,Non-susceptible
6823_5#21,Encapsulated,Non-susceptible
6925_8#24,Unencapsulated,Susceptible
6730_4#12,Encapsulated,Non-susceptible
6631_7#5,Encapsulated,Susceptible
6641_6#19,Encapsulated,Non-susceptible
6949_4#22,Encapsulated,Non-susceptible
7092_6#11,Encapsulated,Susceptible
6631_1#5,Encapsulated,Susceptible
6641_6#5,Encapsulated,Susceptible
7092_6#5,Encapsulated,Susceptible
7004_7#53,Unencapsulated,Susceptible
6925_4#2,Encapsulated,Non-susceptible
6755_5#13,Encapsulated,Susceptible
6680_8#24,Encapsulated,Susceptible
6710_8#15,Encapsulated,Non-susceptible
6641_6#18,Encapsulated,Susceptible
6631_4#18,Encapsulated,Susceptible
6972_2#18,Encapsulated,Susceptible
6899_6#12,Encapsulated,Non-susceptible
6631_6#24,Encapsulated,Susceptible
6899_7#16,Encapsulated,Susceptible
6730_3#3,Encapsulated,Non-susceptible
6823_2#7,Encapsulated,Non-susceptible
6840_3#14,Encapsulated,Susceptible
6630_2#2,Encapsulated,Non-susceptible
6983_8#76,Encapsulated,Susceptible
6259_6#10,Unencapsulated,Non-susceptible
7011_3#20,Encapsulated,Susceptible
6736_4#16,Encapsulated,Non-susceptible
6823_3#21,Encapsulated,Susceptible
6259_8#16,Encapsulated,Non-susceptible
6805_7#23,Unencapsulated,Non-susceptible
7011_5#4,Encapsulated,Susceptible
6949_3#4,Encapsulated,Non-susceptible
6641_6#16,Encapsulated,Non-susceptible
6630_2#21,Encapsulated,Susceptible
6807_3#12,Encapsulated,Non-susceptible
6972_4#18,Encapsulated,Non-susceptible
6823_6#19,Encapsulated,Susceptible
6938_6#6,Encapsulated,Susceptible
6641_6#10,Unencapsulated,Susceptible
6805_6#1,Encapsulated,Susceptible
6664_1#14,Unencapsulated,Non-susceptible
6593_4#5,Encapsulated,Susceptible
6805_2#11,Encapsulated,Susceptible
6680_4#8,Encapsulated,Susceptible
6731_6#11,Encapsulated,Susceptible
6730_5#20,Encapsulated,Susceptible
6664_1#19,Encapsulated,Non-susceptible
6710_7#13,Unencapsulated,Susceptible
7054_5#11,Encapsulated,Susceptible
6730_8#4,Encapsulated,Susceptible
6925_6#5,Encapsulated,Non-susceptible
6925_4#6,Encapsulated,Non-susceptible
6938_6#22,Encapsulated,Non-susceptible
6899_7#20,Encapsulated,Non-susceptible
6949_2#13,Encapsulated,Non-susceptible
6680_5#3,Encapsulated,Susceptible
6649_8#14,Unencapsulated,Non-susceptible
6731_6#12,Encapsulated,Non-susceptible
6925_7#19,Unencapsulated,Non-susceptible
6823_3#4,Encapsulated,Susceptible
6972_3#18,Encapsulated,Susceptible
6805_5#15,Encapsulated,Susceptible
6755_4#12,Encapsulated,Susceptible
6649_7#3,Encapsulated,Unknown
6899_5#18,Unencapsulated,Non-susceptible
6680_5#9,Unencapsulated,Non-susceptible
6755_2#12,Encapsulated,Susceptible
7054_5#1,Unencapsulated,Susceptible
6710_8#23,Encapsulated,Susceptible
6680_4#7,Unencapsulated,Non-susceptible
7054_4#2,Encapsulated,Non-susceptible
6805_2#22,Encapsulated,Susceptible
6805_3#23,Encapsulated,Non-susceptible
6630_4#4,Encapsulated,Susceptible
6631_5#23,Encapsulated,Non-susceptible
6736_5#13,Encapsulated,Susceptible
6630_4#12,Encapsulated,Non-susceptible
6949_2#4,Encapsulated,Non-susceptible
6807_3#20,Encapsulated,Susceptible
7038_7#8,Encapsulated,Non-susceptible
6641_6#21,Encapsulated,Non-susceptible
6925_6#1,Encapsulated,Susceptible
6983_7#52,Encapsulated,Non-susceptible
6631_3#13,Encapsulated,Non-susceptible
6630_4#7,Unencapsulated,Non-susceptible
6983_5#6,Encapsulated,Susceptible
6805_2#13,Encapsulated,Non-susceptible
6630_4#24,Encapsulated,Non-susceptible
7011_6#6,Unencapsulated,Non-susceptible
6775_2#15,Encapsulated,Non-susceptible
6805_4#4,Encapsulated,Non-susceptible
6755_6#4,Encapsulated,Susceptible
6710_7#20,Encapsulated,Non-susceptible
6730_5#11,Encapsulated,Susceptible
7038_7#20,Encapsulated,Susceptible
6983_8#86,Encapsulated,Non-susceptible
6714_7#17,Encapsulated,Susceptible
6730_6#6,Unencapsulated,Non-susceptible
6664_1#12,Encapsulated,Non-susceptible
6736_7#4,Encapsulated,Susceptible
6805_2#9,Encapsulated,Susceptible
7038_6#14,Encapsulated,Non-susceptible
7068_4#13,Encapsulated,Non-susceptible
6938_3#34,Encapsulated,Susceptible
6983_2#6,Encapsulated,Non-susceptible
6823_2#3,Encapsulated,Non-susceptible
6731_1#7,Encapsulated,Susceptible
6899_4#4,Encapsulated,Susceptible
6259_7#11,Unencapsulated,Non-susceptible
6925_6#2,Encapsulated,Susceptible
6753_2#23,Encapsulated,Susceptible
6664_1#6,Encapsulated,Susceptible
6840_3#4,Encapsulated,Non-susceptible
6805_6#14,Encapsulated,Non-susceptible
6680_5#14,Encapsulated,Susceptible
6925_7#22,Encapsulated,Susceptible
6593_5#7,Encapsulated,Susceptible
6736_6#20,Encapsulated,Susceptible
6807_3#2,Encapsulated,Susceptible
6823_6#9,Encapsulated,Non-susceptible
6710_7#18,Encapsulated,Susceptible
6775_2#1,Encapsulated,Susceptible
7004_8#76,Unencapsulated,Non-susceptible
6938_6#19,Encapsulated,Susceptible
6925_4#8,Encapsulated,Non-susceptible
6730_5#4,Unencapsulated,Non-susceptible
7068_4#22,Encapsulated,Non-susceptible
6807_2#7,Encapsulated,Non-susceptible
6753_3#14,Encapsulated,Susceptible
6775_2#6,Encapsulated,Susceptible
6710_8#7,Encapsulated,Non-susceptible
6805_7#12,Encapsulated,Susceptible
6630_3#6,Encapsulated,Susceptible
6736_4#4,Encapsulated,Susceptible
7038_8#40,Unencapsulated,Non-susceptible
6631_2#10,Unencapsulated,Non-susceptible
6680_5#6,Unencapsulated,Non-susceptible
6823_1#8,Unencapsulated,Non-susceptible
6755_2#23,Encapsulated,Susceptible
6753_1#20,Encapsulated,Non-susceptible
6983_2#1,Encapsulated,Non-susceptible
6938_3#20,Unencapsulated,Non-susceptible
6631_5#20,Unencapsulated,Non-susceptible
6805_2#1,Encapsulated,Non-susceptible
6730_3#6,Unencapsulated,Non-susceptible
6983_6#25,Encapsulated,Susceptible
6840_3#12,Encapsulated,Non-susceptible
7054_5#3,Encapsulated,Susceptible
6731_1#19,Encapsulated,Susceptible
6972_5#15,Encapsulated,Non-susceptible
6649_8#16,Unencapsulated,Non-susceptible
6823_2#23,Encapsulated,Non-susceptible
6899_5#19,Unencapsulated,Non-susceptible
6755_3#7,Encapsulated,Susceptible
6631_5#21,Encapsulated,Non-susceptible
7038_7#2,Encapsulated,Susceptible
6736_7#23,Encapsulated,Susceptible
6730_1#4,Encapsulated,Susceptible
6730_1#17,Encapsulated,Non-susceptible
7011_4#5,Encapsulated,Non-susceptible
6938_6#20,Encapsulated,Susceptible
6736_5#3,Encapsulated,Susceptible
6680_7#6,Unencapsulated,Non-susceptible
7038_4#17,Encapsulated,Susceptible
6871_2#7,Unencapsulated,Non-susceptible
6925_4#20,Encapsulated,Non-susceptible
6730_5#7,Encapsulated,Susceptible
6731_4#14,Encapsulated,Susceptible
6755_3#10,Encapsulated,Susceptible
7038_6#9,Encapsulated,Non-susceptible
6925_3#13,Encapsulated,Susceptible
6736_8#1,Encapsulated,Non-susceptible
6938_5#7,Encapsulated,Susceptible
7054_5#17,Encapsulated,Non-susceptible
6949_2#9,Encapsulated,Susceptible
6938_7#11,Unencapsulated,Non-susceptible
7038_5#15,Encapsulated,Susceptible
6755_1#9,Encapsulated,Susceptible
6823_3#19,Encapsulated,Non-susceptible
6899_7#11,Encapsulated,Susceptible
6823_6#5,Encapsulated,Non-susceptible
6871_2#2,Encapsulated,Non-susceptible
7011_6#4,Encapsulated,Non-susceptible
6805_2#4,Encapsulated,Susceptible
6673_8#14,Encapsulated,Susceptible
6736_8#7,Encapsulated,Non-susceptible
6823_6#15,Encapsulated,Susceptible
6630_1#7,Encapsulated,Susceptible
6899_7#5,Unencapsulated,Non-susceptible
7011_4#9,Encapsulated,Susceptible
6805_3#10,Encapsulated,Non-susceptible
6899_6#7,Encapsulated,Non-susceptible
6631_6#1,Encapsulated,Non-susceptible
6730_6#17,Unencapsulated,Non-susceptible
7054_6#11,Encapsulated,Susceptible
6753_3#20,Encapsulated,Susceptible
6925_5#20,Encapsulated,Non-susceptible
6805_2#16,Encapsulated,Susceptible
7004_5#15,Unencapsulated,Non-susceptible
6631_1#14,Encapsulated,Susceptible
7038_5#24,Encapsulated,Susceptible
7054_6#16,Encapsulated,Non-susceptible
6710_8#9,Encapsulated,Non-susceptible
7011_6#15,Encapsulated,Susceptible
7011_5#17,Encapsulated,Non-susceptible
6631_4#5,Unencapsulated,Non-susceptible
6983_2#15,Encapsulated,Susceptible
6631_4#2,Unencapsulated,Non-susceptible
6680_5#18,Encapsulated,Non-susceptible
6899_7#7,Unencapsulated,Non-susceptible
6925_7#3,Encapsulated,Susceptible
6730_3#8,Unencapsulated,Non-susceptible
6925_7#18,Encapsulated,Non-susceptible
6259_6#4,Encapsulated,Susceptible
6631_6#21,Encapsulated,Non-susceptible
6631_5#11,Encapsulated,Susceptible
6925_3#7,Encapsulated,Susceptible
6631_6#9,Encapsulated,Susceptible
6753_3#5,Encapsulated,Non-susceptible
6938_8#5,Encapsulated,Susceptible
6710_8#17,Encapsulated,Non-susceptible
6680_7#15,Unencapsulated,Non-susceptible
6631_2#7,Encapsulated,Susceptible
6938_3#22,Encapsulated,Non-susceptible
7038_5#19,Encapsulated,Susceptible
6823_7#16,Unencapsulated,Non-susceptible
7054_4#19,Encapsulated,Non-susceptible
6680_4#21,Encapsulated,Non-susceptible
6753_4#5,Encapsulated,Susceptible
6938_8#11,Encapsulated,Susceptible
6680_7#20,Encapsulated,Susceptible
6972_5#2,Encapsulated,Susceptible
6641_6#13,Encapsulated,Non-susceptible
6730_5#9,Encapsulated,Non-susceptible
6899_4#22,Encapsulated,Susceptible
6630_3#2,Encapsulated,Susceptible
6949_4#21,Encapsulated,Susceptible
6755_1#16,Encapsulated,Non-susceptible
6593_4#23,Encapsulated,Susceptible
6823_5#23,Encapsulated,Susceptible
6755_3#22,Unencapsulated,Non-susceptible
6899_4#10,Encapsulated,Susceptible
6755_5#9,Encapsulated,Non-susceptible
7068_4#4,Encapsulated,Non-susceptible
6938_6#16,Encapsulated,Non-susceptible
6823_1#11,Encapsulated,Susceptible
6925_5#8,Encapsulated,Susceptible
6983_7#69,Encapsulated,Susceptible
6753_1#8,Encapsulated,Non-susceptible
6949_4#18,Encapsulated,Susceptible
6710_8#3,Encapsulated,Susceptible
6753_1#14,Encapsulated,Susceptible
7038_8#45,Encapsulated,Susceptible
6736_6#10,Encapsulated,Non-susceptible
6680_4#15,Unencapsulated,Non-susceptible
6641_6#12,Encapsulated,Susceptible
6925_8#15,Encapsulated,Non-susceptible
6899_5#7,Encapsulated,Non-susceptible
6736_4#20,Encapsulated,Susceptible
6983_5#21,Encapsulated,Non-susceptible
7038_7#16,Encapsulated,Susceptible
6753_4#20,Encapsulated,Non-susceptible
6775_1#11,Encapsulated,Susceptible
7054_4#10,Encapsulated,Non-susceptible
6710_7#2,Encapsulated,Susceptible
6736_5#5,Encapsulated,Susceptible
6807_1#9,Encapsulated,Susceptible
6730_1#11,Unencapsulated,Susceptible
6736_6#1,Encapsulated,Non-susceptible
6972_2#24,Unencapsulated,Non-susceptible
6730_4#23,Encapsulated,Non-susceptible
6899_5#12,Encapsulated,Non-susceptible
6807_2#6,Encapsulated,Non-susceptible
6807_1#19,Encapsulated,Non-susceptible
6938_5#4,Encapsulated,Susceptible
6753_3#3,Encapsulated,Non-susceptible
6680_4#14,Unencapsulated,Non-susceptible
6680_6#5,Encapsulated,Non-susceptible
6949_3#6,Encapsulated,Non-susceptible
6805_3#13,Encapsulated,Non-susceptible
7054_6#9,Encapsulated,Non-susceptible
6753_3#15,Encapsulated,Susceptible
6938_3#28,Unencapsulated,Non-susceptible
6731_5#15,Encapsulated,Non-susceptible
6753_1#13,Encapsulated,Susceptible
6823_1#2,Encapsulated,Non-susceptible
6983_7#58,Encapsulated,Non-susceptible
6805_3#8,Unencapsulated,Non-susceptible
6259_8#20,Unencapsulated,Non-susceptible
6755_1#8,Encapsulated,Susceptible
6731_1#17,Encapsulated,Susceptible
6983_2#2,Encapsulated,Non-susceptible
6731_5#19,Encapsulated,Susceptible
6731_5#4,Unencapsulated,Non-susceptible
7011_6#9,Encapsulated,Susceptible
6630_1#19,Unencapsulated,Non-susceptible
7004_5#23,Unencapsulated,Non-susceptible
6630_3#19,Encapsulated,Susceptible
6731_4#7,Encapsulated,Susceptible
6823_6#1,Unencapsulated,Non-susceptible
6899_5#2,Encapsulated,Non-susceptible
6871_1#4,Encapsulated,Non-susceptible
6805_3#14,Encapsulated,Susceptible
6680_7#4,Unencapsulated,Non-susceptible
6871_1#11,Encapsulated,Non-susceptible
6830_3#1,Encapsulated,Susceptible
6664_1#22,Encapsulated,Non-susceptible
6823_4#5,Unencapsulated,Non-susceptible
6631_1#23,Encapsulated,Susceptible
6899_6#22,Encapsulated,Susceptible
6736_8#15,Encapsulated,Non-susceptible
6755_2#15,Encapsulated,Non-susceptible
6680_6#21,Unencapsulated,Non-susceptible
6731_2#21,Encapsulated,Non-susceptible
6807_2#8,Encapsulated,Susceptible
6731_2#20,Encapsulated,Non-susceptible
6823_3#11,Encapsulated,Non-susceptible
6925_7#24,Encapsulated,Susceptible
6949_3#21,Encapsulated,Non-susceptible
6680_4#13,Encapsulated,Non-susceptible
6664_1#16,Unencapsulated,Non-susceptible
6736_8#4,Encapsulated,Susceptible
7054_5#15,Encapsulated,Non-susceptible
6753_4#8,Encapsulated,Non-susceptible
6730_1#12,Unencapsulated,Non-susceptible
6972_4#6,Encapsulated,Susceptible
6938_8#23,Encapsulated,Susceptible
6983_4#74,Encapsulated,Susceptible
7092_6#7,Encapsulated,Non-susceptible
6753_4#1,Unencapsulated,Susceptible
6755_2#7,Encapsulated,Susceptible
6630_1#11,Encapsulated,Non-susceptible
7068_4#11,Encapsulated,Non-susceptible
6631_3#3,Encapsulated,Susceptible
6649_8#9,Unencapsulated,Non-susceptible
6949_2#18,Encapsulated,Non-susceptible
6823_7#7,Encapsulated,Susceptible
6938_5#2,Encapsulated,Susceptible
6823_4#21,Encapsulated,Non-susceptible
6983_8#82,Encapsulated,Non-susceptible
6925_4#18,Encapsulated,Non-susceptible
6841_7#9,Encapsulated,Non-susceptible
6641_6#23,Encapsulated,Susceptible
6649_7#17,Encapsulated,Susceptible
6259_7#16,Unencapsulated,Non-susceptible
6730_7#10,Encapsulated,Susceptible
6925_5#17,Encapsulated,Susceptible
6925_6#13,Encapsulated,Non-susceptible
6823_5#2,Encapsulated,Susceptible
6805_4#22,Unencapsulated,Non-susceptible
6730_5#23,Unencapsulated,Non-susceptible
6938_6#15,Encapsulated,Susceptible
6938_3#27,Encapsulated,Susceptible
6593_5#14,Encapsulated,Non-susceptible
6972_2#8,Encapsulated,Susceptible
6731_5#14,Encapsulated,Susceptible
6983_4#88,Encapsulated,Susceptible
6710_6#16,Encapsulated,Susceptible
6631_6#10,Encapsulated,Susceptible
6755_1#24,Encapsulated,Non-susceptible
